sentiment,texte
ham, Hantsoiko ianao any aoriana any
ham, Azontsika atao ve ny mamerina ny fandaharam-potoanantsika rahampitso?
ham, Tratry ny tsingerintaona nahaterahana! Manantena aho fa hanana andro mahafinaritra ianao!
ham, Handeha hody aho izao
ham, Alefaso amiko ny tatitra alohan'ny faran'ny andro
ham, Andao hiara-misakafo atoandro amin’ny herinandro ambony
ham, Aza adino ny maka ny entana
ham, Manao ahoana ny andronao?
ham, Ho eo aho afaka  minitra
ham, Misaotra amin'ny fanavaozana
ham, Ao amin'ny birao aho Antsoy aho rehefa afaka ianao
ham, Mbola misakafo hariva ve isika izao?
ham, Afaka manampy ahy amin'ity tetikasa ity ve ianao?
ham, Azoko ny hafatrao Andeha hodinihintsika any aoriana
ham, Efa nahita ny fizarana farany amin'ny fampisehoana ve ianao?
ham, Hivoaka ny tanàna aho amin'ity faran'ny herinandro ity
ham, Ampahafantaro ahy raha mila zavatra hafa ianao
ham, Ahoana raha mihaona amin'ny  ora tolakandro isika?
ham, Amin'ny firy ianao no tonga any amin'ny seranam-piaramanidina?
ham, Ho entiko eo amin'ny biraonao ny antontan-taratasy
ham, Tena nahafinaritra ny nihaona taminao!
ham, Afaka mandefa mailaka amiko ve ny antsipiriany?
ham, Nahemotra amin’ny herinandro ho avy ny fivoriana
ham, Vitako ny asa nanendrenao ahy
ham, Hanatevin-daharana ny antso aho afaka  minitra
ham, Misaotra noho ny fanampianao androany
ham, Andeha isika handeha an-tongotra anio hariva
ham, Afaka miresaka haingana ve ianao?
ham, Tsy andriko ny dianay
ham, Halefako aminao ny rakitra raha vao tonga any an-trano aho
ham, Manomboka amin'ny  ora hariva ny hetsika
ham, Ho any amin'ny gym aho rehefa avy miasa
ham, Afaka manamarina ny fanendrena ve ianao?
ham, Miasa amin'ny famelabelarana aho
ham, Inona no drafitrao amin'ny faran'ny herinandro?
ham, Ho alaiko ianao amin'ny  ora hariva
ham, Misaotra anao tamin'ny fanasana!
ham, Noraisiko ny hafatrao
ham, Andeha isika hiresaka momba izany amin'ny kafe
ham, Mihatsara kokoa aho androany
ham, Tonga amin'ny fety ve ianao anio alina?
ham, hampahafantatra anao aho rehefa tonga aho
ham,Tsara ny andro anio!
ham, Afaka miantso ahy indray ve ianao any aoriana any?
ham,Vitako ny namaky ilay boky natoronao
ham,​​Tara aho fa ho avy tsy ho ela
ham, Tokony ho tratra isika indraindray
ham, Ao amin'ny trano fisakafoanana aho Aiza ianao?
ham, Ampahafantaro ahy raha mila fanovana ianao
ham, Hiresaka aminao aho any aoriana any
ham,Hey mijery fotsiny hoe manao ahoana ianao
ham,Aza adino ny fihaonantsika rahampitso amin'ny  ora maraina
ham,Afaka mijery ny antontan-taratasy mipetaka ve ianao ary manome valiny?
ham,Rahampitso sakafo atoandro? Ampahafantaro ahy raha afaka ianao
ham,Mba tadiavo ny tatitra mipetaka araka ny fangatahana
ham,Miandrandra ny antsontsika amin'ity tolakandro ity
ham,Misaotra noho ny valiny haingana nataonao
ham,Indro ny fampahalalana nangatahinao
ham,Afaka mamerina ny fandaharam-potoanantsika amin'ny herinandro ho avy ve isika?
ham,Ampahafantaro ahy raha manana fanontaniana ianao
ham,Misaotra amin'ny fanavaozana Ankasitrahako izany
ham,Hivoaka ny birao aho amin'ny herinandro ho avy
ham,Azafady hamafiso ny fahafahanao amin'ny fivoriana
ham,Andao hisotro kafe indray mandeha
ham,Hiverina aminao haingana aho
ham,Manantena aho fa nanana faran'ny herinandro mahafinaritra ianao!
ham,Mba jereo ny antsipiriany etsy ambany
ham,Afaka mandefa ahy ny dikan-teny farany amin'ny antontan-taratasy ve ianao?
ham,Misaotra noho ny fanampianao tamin'ity
ham,Hizaha izany aho ary hiverina aminao
ham,Nahafinaritra ny fihaonana taminao omaly
ham,Andao hikasika toby Rahampitso maraina
